Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11
,,,,,0,,,,,
,,,0,0,0,0,0,,,
,,0,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,0,0,
,0,0,0,2,0,0,0,0,0,
0,0,0,6,0.25,3.5,8,2,0,0,0
,0,0,0,0,7.5,0,0,0,0,
,0,0,0,8,0,0,0,0,0,
,,0,0,0,0,0,0,0,,
,,,0,0,0,0,0,,,
,,,,,0,0,,,,
